Title	Publisher/Author	F	GRL	Box	#books	minlevel	maxlevel	#ords	keyword
My Grandfather's Face	Literacy 2000 Rigby	F	Dark Blue	26	1	2	2	27	
My Grandpa	Bookshelf	F	Green	51	3				
My Holiday Diary	Around the World books	F			2	9	10	95	
My Home	Rigby	F	Dark Blue	40	9	2	2	23	
My House	Rigby Literacy Tree	F	Orange	2	1	10	10	126	
My Little Cat	Rigby	F	Dark Blue	26	10	2	2	57	
My Little Dog	Literacy Tree	F	Dark Blue	65	19	3	3	102	
My little dog	Rigby PM	F	Dark Blue	75	43	3	3	90	
My Lunch	Pioneer Valley	F	Dark Blue	66	1	3	3	68	
My Mom	Dominie 	F	Green	55	2	9	10	91	
My Mom and Dad	Wright Group	F	Green	13	1	5	6	86	
My Mom and Dad	Wright Group	F	Orange	14	3	12	12		
My Monster Friends	Literacy 2000	F	Orange	31	28	14	14	114	
My Native American School	Kaeden Group	F	Green	63	3	10	10		
My New House	Rigby	F	Orange		4				
My Picture	Carousel readers	F	Dark Blue	80	1	4	4		
My Planet	Rigby	F	Dark Blue	7	6	1	1	28	
My Pumpkin	Dominie Press	F	Dark Blue	78a	6	3	4	52	
My Sand Castle	Rigby	F	Dark Blue	36	15	2	2	44	
My Secret Valentine	Scholastic	F	Light Blue	42	1	33	37		
My Shadow	Ready Readers	F	Dark Blue	76b	6	3	4	32	
My Shark	Electronic Education	F	Orange						
My Side of the Mountain	George	F	Lime	58	5	44	44		
My Side of the Mountain	George	F	Purple		3	44	44		
My Skin	Wright Group		Green	23	5	6	6	64	
My Tiger Cat	Kaeden Group	F	Green	32	5	7	7	76	
My tower	Rigby PM	F	Dark Blue	90	1	4	4		
My Two Families	Rigby	F	Yellow	67	2	23	23		
My Wild Woolly	Harcourt Brace	F	Dark Blue	95	1				
My Wonderful Chair	Windmill Books	F	Green	41	4	9	10	109	
My Word How Absurd	Literacy Tree	F	Light Blue	28	6	34	34	250	
Mystery in the Arctic 	Rigby	F	Light Blue	2					
Myth or Mystery	Literacy Tree Rigby	F	Light Blue	11	12	38	38	250	
Names and Games	Literacy Tree	F	Green	39	4	8	8	115	
Nana's Orchard	Kaeden Group	F	Green	41	5	9	9		
Nate the Great	Sharmat	F	Yellow	19	11	21	22		
Nate the Great and Me The Case of the Fleeing Fang	Sharmat	F	Yellow	20	1	21	22		
Nate the Great and the Boring Beach Bag	Sharmat	F	Yellow	20	1	21	22		
Nate the Great and the Crunchy Christmas	Sharmat	F	Yellow	20	1	21	22		
Nate the Great and the Fishy Prize	Sharmat	F	Yellow	20	10	21	22		
Nate the Great and The Halloween Hunt	Sharmat	F	Yellow	20	2	21	22		
Nate the Great and the Lost List	Sharmat	F	Yellow	19	3	21	22		
Nate the Great and The Missing Key	Sharmat	F	Yellow	20	20	21	22		
Nate the Great and the Musical Note	Sharmat	F	Yellow	20	1	21	22		
Nate the Great and the Phony Clue	Sharmat	F	Yellow	20	13	21	22		
Nate the Great and the Snowy Trail	Sharmat	F	Yellow	19	7	21	22		
Nate the Great and the Sticky Case	Sharmat	F	Yellow	19	1	21	22		
Nate the great and the stolen base	Sharmat	F	Yellow	19	1	21	22		
Nate the Great and the Tardy Tortoise	Sharmat	F	Yellow	19	2	21	22		
Nate the Great Goes Down in the Dumps	Sharmat	F	Yellow	19	11	21	22		
Nate the Great Goes Undercover	Sharmat	F	Yellow	19	1	21	22		
Nate the Great Stalks Stupidweed	Sharmat	F	Yellow	20	1	21	22		
Nelson Gets a Fright	Rigby	F	Red	59	3	20	20		
Nelson is Kidnapped	Rigby	F	Yellow	44	1	23	23		
Nelson, The Baby Elephant	Rigby PM Collection	F	Red	30	3	18	18	350	
Nests	Wright Group	F	Dark Blue	60	4	3	3	35	
New	Electronic Education	F	Green						
New boots	Rigby	F	Green	33	14	7	7	127	
New glasses for Max	Rigby	F	Orange	25	5	13	13		
New Shoes	WrightGroup	F	Dark Blue	60	8	3	3	29	
Nice New Neighbors	Scholastic	F	Yellow	26	3	21	22		
Nick Wants a Puppy	ETA Cuisenaire	F	Yellow	71	10	24	24		
Nickaleer - Ship Wreck Survivors	Perfection Learning	F	Lime	62	18				
Nick's Glasses	Learning Media,Ltd	F	Green	32	4	7	7	51	
Night Animals	Ready Readers	F	Green	13	5	5	6	56	
Night John	Paulsen	F	Neon Red	21	2				
Night Lights	Orbit	F	Lime	51	20				
Night Walk	Owen Publications	F	Green	47	1	8	9		
Night Walk	Harcourt Brace	F	Green	52	1	9	9	91	
Nighty Nightmare	Avon	F	Lime	47	1				
No Dinner for Sally	Literacy 2000	F	Red	21	1	18	18	250	
No Extras	Literacy Tree	F	Green	42	4	9	9		
No Extras	Rigby	F	Orange	2	4	10	10	90	
No More Worries	Sundance	F	Red	66	3	18	20		
No Singing Today	Mondo	F	Orange	36	8	14	14		
No Singing Today!	Mondo	F	Orange	29	4	12	13		
No Trouble At All!	Rigby	F	Light Blue	29	9				
No Way, Winky Blue	Mondo	F	Light Blue	46	6	34	35		
Noises	Dominie Press	F	Dark Blue	78c	7	3	4	98	
Noises	Literacy Tree	F	Green	36	1	8	8	49	
Noisey Nora	Scholastic	F	Orange	big book	8	16	16		
Not a Chance	Sundance	F	Purple	61	5				
Not in a Thousand Years	Rigby	F	Yellow	122	11	29	29		
Notes from Mom	Seedling Publication	F	Green	18	6	6	6	98	
Nothing in the Mailbox	Owen	F	Green	52	10	9	10	73	
Nothing is for Free	Perfection Learning	F	Light Blue	46	5				
Nothing's Fair in the Fifth Grade	Scholastic	F	Lime	30	4				
Now I Ride	Carousel readers	F	Dark Blue	97	1	5	5		
Now, Listen Stanley	Literacy 2000	F	Red	65	5	20	20		
Number the Stars	Yearling	F	Purple	41	2	50	50		
Off to Work	Literacy 2000	F	Dark Blue	27	2	2	2	41	
Oh Bother	Book Shelf	F	Green		2				
Oh No!	Rigby	F	Green	41	5	9	9		
Oh No, Mose	Electronic Education	F	Green						
Oh, Columbus	Literacy 2000	F	Red	55	1	20	20		
Oh, Fiddlesticks	Literacy Tree	F	Dark Blue	57	4	3	3	60	
Oh, John the Rabbit	Houghton Mifflin	F	Orange		6				
Oh, John the Rabbit	Invitations to Literacy	F	Orange						
Oh, No, Sherman	Seedling Publication	F	Green	18	5	6	6	65	
Oh, What a Daughter 	Literacy Tree	F	Yellow	66	2	23	24	250	
Old and New	Shortland Pub	F	Dark Blue	64	3	3	3		
Old Friends	Literacy 2000	F	Red	63	1	20	20	250	
Old MacDonald's Fun Time Farm	Harcourt Brace	F	Green	35	1				
Old Mother Hubbard	Literacy 2000	F	Orange	43	28	14	14	117	
Old Mother Hubbard (Poetry)	Literacy 2000	F	Orange	1P	4	13	14	147	
Old Socks	Literacy 2000	F	Orange		4				
Old Yeller	Gipson	F	Lime	65	1	44	44		
Oliver Trades Places	ETA Scooters	F	Yellow	74	5	24	24		
On and Off	Rigby	F	Dark Blue	30	13				
On My Honor	Dell	F	Purple	48	6				
On Our Street	Sundance	F	Dark Blue	59	6	3	4	52	
On Safari	Rigby	F	Dark Blue	61	5	3	3	28	
On the Banks of Plum Creek	Ingalls	F	Lime			40	40		
On the Beach	Rigby	F	Dark Blue	40	6	3	3	28	
On the Far Side of the Mountain	Puffin	F	Purple	50	1				
On the Farm	Literacy Tree	F	Dark Blue	102	27	4	4	18	
On the Farm	Houghton Mifflin	F	Green	1	5	1	1		
On the Line	Dominie Press	F	Dark Blue	13	6	1	1	35	
On The Road	Dominie Press	F	Dark Blue	78a	6	3	4	47	
On Vacation	Sundance	F	Green	4	5	5	6	88	
Once When I Was Shipwrecked	Literacy Tree	F	Yellow	58	4	23	24	250	
One Bee Got on the Bus	Ready Readers	F	Dark Blue	60	5	3	4	43	
One Day	Dominie Press	F	Dark Blue	22	5	2	2	48	
One Day	Teacher's Choice Series	F	Green						
One Eyed Cat	Dell	F	Purple	60	9				
One Fine Day	Hogrogian-Houghton-Mifflin	F	Light Blue	73	18	38	38	250	
One Hot Summer Night	Mondo	F	Orange	10	33	12	12	126	
One in the Middle is the Green Kangeroo	Blume	F	Lime	12	1				
One Sock, Two Socks	Gage	F	Orange	52	4				
One Sock, Two Socks	Dominie Press	F	Orange	nm2	1				
Onion John	Scholastic	F	Purple	20	10				
Only An Octopus	Literacy Tree	F	Orange	32	4	14	14	236	
Oscar and Tatiana	Literacy Tree	F	Yellow	76	2	24	24		
Otherwise Known as Sheila the Great	Blume	F	Lime	16	1	40	40		
Ouch!	Rigby 	F	Dark Blue	2	28	1	1	40	
Our Baby	Literacy Tree	F	Dark Blue	48	4	2	2	14	
Our Dog Sam	Literacy 2000	F	Green	1	24	5	5	56	
Our Garage	Kaeden Group	F	Green	41	5	9	9	80	
Our House	Literacy Tree	F	Dark Blue	46	17	2	2	25	
Our house is a safe house	Rigby PM	F	Orange						
Our new house	Rigby PM	F	Orange						
Our Old Friend, Bear	Rigby	F	Yellow	76	7	24	24		
Our Pets	Rigby	F	Orange		3				
Our School	Houghton Mifflin	F	Dark Blue	11	3	1	2	12	
Our School	Twig Books	F	Green	62	2				
Our Shadows	Literacy Tree	F	Dark Blue	57	20	3	3	54	
Our Soccer Team 	Literacy Tree	F	Green	66	1	10	10	139	
Our Teacher, Miss Pool	Cowley	F	Green	18	4	6	6	62	
Our Tree House	Wright Group	F	Orange		5				
Out After Dark	Wright Group	F	Orange	44	4	14	14		
Out in the weather	Rigby PM	F	Dark Blue	38	47	2	2	56	
Out of the Dust	Scholastic Hesse	F	Neon Red	24	5	60	60		
Outside Inside	Dominie Collection	F	Orange		2				
Outside, Inside	Teacher's Choice Series	F	Orange						
Over the Bridge	Sundance	F	Dark Blue	44	11	2	2	50	
Owls in the Family	Bantam	F	Light Blue	1	5				
Ox-Cart Man	Scholastic	F	Yellow	69	2	24	24		
P.S. I Love You	Literacy Tree Rigby	F	Light Blue	28	12	34	34	250	
Packing my bag	Rigby PM	F	Dark Blue	30	40	2	2	52	
Pancakes for Supper	Literacy 2000	F	Orange	31	2	14	14		
Papa's Spagetti	Literacy Tree	F	Orange	16	32	12	12	248	
Park's Quest	Puffin	F	Purple	65	4				
Party Hats	Rigby	F	Dark Blue	35	9	2	2	72	
Pat-a-Cake	Electronic Education	F	Orange						
Patrick	Book Blazers	F	Lime	21	10	40	40		
Paul Revere's Ride	Literacy 2000	F	Lime	49	4	40	40		
Pedro's Journal		F	Lime	6	3				
Pee Wee Scouts A Pee Wee Christmas	Delton	F	Yellow	61	76	23	24		
Pee Wee Scouts A Pee Wee Scouts Christmas	Delton	F	Yellow	61	11	23	24	250	
Pee Wee Scouts Bad Bad Bunnies	Delton	F	Yellow	61	1	23	24		
Pee Wee Scouts Camp Ghost-Away	Delton	F	Yellow	61	1	23	24		
Pee Wee Scouts Cookies and Crutches	Delton	F	Yellow	61	3	23	24		
Pee Wee Scouts Grumpy Pumpkins	Delton	F	Yellow	60	3	23	23	250	
Pee Wee Scouts Grumpy Pumpkins	Delton	F	Yellow	60	3	23	23		
Pee Wee Scouts Lucky Dog Days	Delton	F	Yellow	60	9	23	24		
Pee Wee Scouts Peanut-Butter Pilgrims	Delton	F	Yellow	60	3	23	24		
Pee Wee Scouts Pee Wees on Skis	Delton	F	Yellow	61	1	23	24		
Pee Wee Scouts Piles of Pets	Delton	F	Yellow	61	1	23	24		
Pee Wee Scouts Spring Sprouts	Delton	F	Yellow	60	5	23	24		
Pee Wee Scouts That Mushy Stuff	Delton	F	Yellow	61	5	23	24		
Pee Wee Scouts The Pee Wee Jubilee	Delton	F	Yellow	61	1	23	24		
People on the Beach	Dominie Collection	F	Green	29	11	7	7		
Pepper's Adventure	Rigby	F	Orange	39	8	14	14		
Percival	Literacy 2000	F	Red	10	2	16	16	250	
Pete Little	Rigby	F	Orange	22	3	12	12		
Peter the Pumpkin-Eater	Literacy Tree	F	Yellow	129	3	30	30	250	
Pete's New Shoes	Literacy Tree	F	Orange	11	3	12	12	91	
Pets	Rigby	F	Dark Blue	12	7	1	1	33	
Pets	Literacy Tree	F	Green	34	1	10	10	51	
Phan's Diary	Rigby	F	Yellow	95	18	27	27		
Philip Hall Likes Me- I Reckon, Maybe	Dell	F	Purple	34	5				
Philippa and the Dragon	Literacy 2000	F	Orange	19	4	12	12	137	
Photo time	Rigby	F	Dark Blue	76	4				
Photographic Memory	Rigby	F	Yellow	95	8	27	27		
Picking Apples	Pioneer Valley	F	Green	32	1	8	8	128	
Pickles Gets Lost	Pioneer Valley Press	F	Orange	14	6	 12/G	 G	154	
Pickles Goes to School	Pioneer Valley Press	F	Green	30	6	7	7	90	
Pickles Helps Out	Pioneer Valley Press	F	Green	47	6	9	9	160	
Pie, Pie Beautiful Pie	Rigby	F	Light Blue	66	1	34	34	250	
Pizza for Dinner	Literacy Tree	F	Orange	43	3	14	14	164	
Pizza Party!	Scholastic	rF	Green		2	9	10	250	
Places	Sundance	F	Dark Blue	61	8	3	4	88	
Plain City	Scholastic	F	Purple	69	10	50	50		
Planning a Birthday Party	Mondo	F	Yellow	109	1	28	28		
Play Ball, Sherman	Seedling Publication	F	Green	43	2	9	9	88	
Play the Game You Know	Book Treks	F	Neon Red	14	7				
Play With Me	Literacy Footprints	F	Green	38A	1	8	8	118	
Playing	Rigby	F	Dark Blue	10	9	1	1	39	
Playing Outside	Rigby	F	Dark Blue	35	12	2	2	56	
Pocketful of Acorns	Dominie	F	Red	70	1	20	20		
Poetry Book 1	Electronic Education	F	none	1P 	2				
Polk Street Kids- Look Out, Washington, D.C	Giff	F	Light Blue	79	1	38	38		
Pony Pals - Detective Pony #17	Scholastic	F	Light Blue	30	6				
Pony Pals - Pony to the Rescue #5	Scholastic	F	Light Blue	30	6				
Pony Pals A Pony to Keep	Scholastic	F	Light Blue	30	1	38	38		
Pookie and Joe	Literacy Tree	F	Red	68	6	20	20	250	
Popcorn fun	Rigby PM	F	Orange	27	4	13	13		
Postcards From Pop	Literacy Tree	F	Green	59	1	10	10	122	
Postman Pete	Mondo	F	Red	31	3	18	20	285	
Prickles the Porcupine	Rigby	F	Red	40	10	19	19		
Prince Caspian	Macmillian	F	Purple	53	6				
Pumpkins!	Houghton Mifflin	F	Orange	45	7				
Puppets	Literacy Tree	F	Light Blue	29	3				
Puppy at the Door	Rigby PM	F	Red	27	1	18	18		
Purple is Part of a Rainbow	Children's Press--Rookie Reader	F	Green	38	9	6	7	131	
Put It Back!	Steck-Vaughn	F	Green						
Quack, Quack, Quack	Waterford	F	Orange						
Queen of the Pool	Rigby	F	Yellow	81	8	25	25		
Quick! Help!	Electronic Education	F	Orange						
r	WrightGroup	F	Dark Blue	64	11	3	3		
Rabbit Hill	Lawson	F	Purple	15	8	45	45		
Rabbit Stew	Literacy2000	F	Yellow	76	3	24	24		
Rabbits' Ears	Rigby	F	Green	55	4	10	10		
Radio Fifth Grade	Scholastic	F	Purple	50	1				
Rain	Dominie 	F	Dark Blue	34	2	2	2	52	
Rainbow Parrot	Literacy Tree	F	Red	8	4	16	16	173	
Raising Pilot	Book Treks	F	Lime	23	2	40	40		
Rally Car Race	Rigby	F	Red	39	16	19	19		
Ralph S. Mouse	Cleary	F	Lime	25	5				
Ralph S. Mouse	Cleary	F	Light Blue	72	1	38	38		
Ramona and Her Father	Cleary	F	Light Blue	77	2	38	38		
Ramona and Her Mother	Cleary	F	Light Blue	77	2	38	38		
Ramona Forever	Cleary	F	Light Blue	81	4	38	38		
Ramona Quimby, Age 8	Cleary	F	Light Blue	76	8	38	38		
Ramona the Brave	Yearling	F	Light Blue	81	5	38	38		
Ramona the Pest	Cleary	F	Light Blue	77	1	36	37		
Rapunzel	Literacy Tree	F	Yellow	66	2	23	24	250	
Rat-a-tat-tat	Rigby	F	Green	28	7	7	8	107	
Rats, Spiders, and Love	Pryor	F	Lime	62	2	49	49		
Ready for School	Dominie Press	F	Dark Blue	78c	6	3	4	41	
Ready Get Set, Go!	Troll Associates	F	Orange	nm1	1				
Rebecca and the Concert	Rigby PM Collection	F	Red	3	1	16	16	374	
Recess	Dominie Press	F	Dark Blue	22	6	2	2	24	
Red	Harcourt Brace	F	Green	52	1	10	11	71	
Red Cap	Puffin	F	Neon Red	8	4	60	60		
Red socks, and yellow socks	Wright Group	F	Orange	1	1	12	12		
Red Squirrel Hides Nuts	Rigby	F	Green	34	13	7	7	128	
Red Squirrel's Adventure	Rigby PM	F	Orange	40	13	14	14		
Rescuing Nelson	Rigby	F	Red	35	2	18	18	369	
Return to Howliday Inn	Howe	F	Light Blue	40	5	38	38		
Rex Plays Fetch	Rigby	F	Red	41	7	19	19		
Rice Cakes	Literacy 2000	F	Orange	38	10	14	14	250	
Riddles	Rigby	F	Green	28	3	7	8	51	
Riding Freedom	Scholastic	F	Light Blue	75	4				
Riding High	Rigby PM	F	Red	68	3	20	20	529	
Riding in My Jeep	Electronic Education	F	Orange						
Riding to Craggy Rock	Rigby	F	Red	21	2	18	18	386	
Rifles for Watie	Trophy Harper	F	Neon Red	23	2				
River of Amber	Perfection Learning	F	Lime	26	5				
River of Ice	Perfection Learning	F	Light Blue	18	13				
River Rats	Orbit	F	Lime	42	18				
River Runners	Literacy Tree	F	Light Blue	45	15	30	30	250	
Roar Like A Tiger	Rigby	F	Green	38A	1	8	8		
Robin Hood	Ingle	F	Yellow	130	4	28	30		
Robinson Caruso	Defoe	F	Light Blue	20	6				
Robinson Crusoe	Scholastic	F	Neon Red	20	2				
Roll of Thunder, Hear My Cry	Scholastic	F	Neon Red	27	11	60	60		
Roll Over	Literacy Tree	F	Green	6	4	5	6	182	
Roller Coaster Ride	Rigby	F	Red	60	6	20	20		
Roly meets the monster	Literacy 2000	F	Yellow	125	4	30	30	250	
Rookie Reader - Who is coming?	Children's Press	F	Green	60	1				
Rookie Reader- Constance Stumbles	Children's Press	F	Green	63	1				
Rookie Reader- Dirty Larry	Rookie Reader-	F	Green	63	1				
Rookie Reader- Eat Your Peas, Louise!	Children's Press	F	Green	63	1				
Rookie Reader- Go-With Words	Children's Press	F	Green	63	1				
Rookie Reader- Hot Rod Harry	Children's Press	F	Green	63	1				
Rookie Reader- I Am	Children's Press	F	Green	63	1				
Rookie Reader- Where's Brooke?	Children's Press	F	Green	60	1				
Rosie at the Zoo	Learning Media	F		30	4	13	14	135	
Rosie's Birthday Rat	Mondo	F	Red	56	4	18	20		
Rosie's House	Literacy 2000	F	Red	56	3	20	20	250	
Rosie's Story	Book Shop	F	Yellow	44	2	23	24	840	
Rosie's Walk	Scholastic	F	Green	64	16	9	10	32	
Round and Round	Shortland Pub	F	Dark Blue	64	3	3	3		
Row Your Boat	Rigby	F	Dark Blue	68	4	3	4	18	
Row Your Boat	Rigby	F	Green	63	4				
Roy G. Biv	Wright Group	F	Green	13	5	5	6	68	
Rumpelstiltskin	Literacy 2000	F	Red	20	4	18	18		
Rumpelstiltskin	Dominie Collection	F	Yellow	6	3	18	20	940	
Rumpelstiltskin	Rigby	F	Yellow	118	6	28	28		
Rumpelstiltskin	Rigby	F	Yellow	118	6	28	28		
Runaway Ralph	Yearling	F	Light Blue	81	3	38	38		
Russel Sprouts	Hurwitz	F	Yellow	129	3	28	30	250	
Sadako and the Thousant Paper Cranes	Dell -Coerr	F	Lime	59	3	40	40		
Sally and the Daisy	Rigby	F	Dark Blue	60	31	3	3	60	
Sally and the sparrows	Rigby PM	F	Green	30	19	7	7	151	
Sally's beans	Rigby PM	F	Green	21	24	4	4	127	
Sally's friends	Rigby PM	F	Green	53	4	9	9		
Sally's new shoes	Rigby PM	F	Dark Blue	29	42	2	2	58	
Sally's Picture	Literacy Tree	F	Orange	12	2	12	12		
Sally's red bucket	Rigby PM	F	Green	33	5	8	8		
Sally's Surprise Garden	Rigby	F	Orange	33	30	14	14	146	
Sam and Bingo	Rigby	F	Dark Blue	62	2	3	3	53	
Sam and the waves	Rigby	F	Green	27	12	6	6	122	
Sam goes to school	Rigby	F	Green	34	14	7	7	131	
Sam plays paddle ball	Rigby	F	Green	48	3	9	9		
Sam Writes	Wright Group	F	Green	18	5	6	6	62	
Sam, Bangs, Moonshine	Holt	F	Light Blue	26	3	38	38		
Sammy at the Farm	Kaeden Group	F		2	5	5	5	83	
Sam's Balloon	Rigby	F	Dark Blue	62	2	3	3	54	
Sam's Glasses	Rigby	F	Yellow	109	3	28	30	250	
Sam's Haircut	Rigby	F	Orange	28	2	13	13		
Sam's Mask	Ready to Read	F	Green	40	6	7	8	41	
Sam's painting	Rigby	F	Green	67	8	10	10		
Sam's Picnic	Rigby	F	Green	2	2	5	5	104	
Sam's race	Rigby PM	F	Dark Blue	84	2	4	4	64	
Sarah Bishop	Scholastic	F	Purple	48	2				
Sarah, Plain and Tall	MacLachlan	F	Lime	64	17	40	40		
Sarah's Seed	Literacy Tree	F	Green	58	26	10	10	107	
Saturday Morning	Read to Read	F	Orange	54	1				
Saturday Morning Breakfast	Dominie Collection	F	Orange		4				
Saving Alpha Nagawa	Book Treks	F	Purple	13	6				
Saving Hoppo	Rigby	F	Orange	48	4	15	15		
Scare-Kid	Literacy Tree	F	Red	66	1	20	20	250	
School	Twig Books	F	Green	29	4				
Schools In!	Scholastic	F	Light Blue						
Scorpions	Trumpet	F	Neon Red	19	4				
Screech	Rigby Literacy Tree	F	Dark Blue	87	34	4	4	41	
Scruffy	Bullseye	F	Neon Red	1	2				
Sea Monkey	ETA	F	Yellow	109	5	28	28		
Sea Monkeys	ETA-Cuisenaire	F	Yellow	117	1	28	28		
Sea Otter Goes Hunting	Rigby	F	Red	42	6	19	19		
Sea Wind	Rigby PM	F	Light Blue	2	4	30	30		
Sea Wind	Rigby	F	Purple	13	7	50	50		
Seagull is clever	Rigby	F	Green	40A	13	8	8		
Seawall	Rigby	F	Yellow	96	14	27	27		
Seb and Sasha	Book Blazers	F	Lime	24	10				
Secret Soup	Literacy 2000	F	Green	36	2	8	8		
Secret Valentine	Troll Associates	F	Orange	nm2	4	can't find	can't find		
Secret Valentine	Troll Associates	F	Orange						
See You Tomorrow, Charles	Cohen	F	Red	10	6	16	17	250	
Shades of Gray	Reeder	F	Light Blue	26	3				
Shadow of a Bull	Aladdin	F	Purple	69	5				
Shadows	Rigby	F	Green	3	29	5	6	35	
Shakespeare and Me	Perfection Learning	F	Light Blue	7	8				
Sharing	Literacy Tree	F	Dark Blue	69	12	3	3	24	
Sharing Time	Carousel readers	F	Dark Blue	97	1	5	5		
Sherman	Seedling Pub	F	Green	2	2	5	5	48	
Sherman Is A Slow Poke	Scholastic	F	Yellow	no bx 131	4				
Shiloh	Yearling	F	Purple	11	11				
Shine, Sun	Children's Press	F	Dark Blue	9	1				
Shintaro's Umbrellas	Owen Publications	F	Red	26	5	17	18	101	
Shoes	Dominie 	F	Red	14	5	16	17	77	
Shopping	Sundance	F	Dark Blue	59	10	3	4	78	
Shopping	Literacy Tree	F	Dark Blue	86	27	4	4	26	
Shopping At The Mall	Literacy 2000	F	Orange						
Shorty	Literacy 2000	F	Yellow	109	1	28	28	250	
Show and Tell	Literacy Tree	F	Dark Blue	39	18	2	2	32	
Show and Tell	Sundance	F	Green	40	1	8	8		
Show and Tell	Troll Associates	F	Orange		3				
Sick in Bed	sundance	F	Green	63	3	9	10	109	
Sidetracked Sam	Literacy 2000	F	Yellow	24	6	21	22	250	
Silly Cat Tricks	Teacher's Choice Series	F	Green						
Silver and Prince	Rigby PM Collection	F	Light Blue	71	4	34	34	906	
Silver and Prince	Rigby	F	Yellow	75	4	24	24		
Simple Solutions	Literacy Tree	F	Yellow	108	1	28	28	250	
Sing a song	The Story Box	F	Green						
Sione Went Fishing	Sunshine Books	F	Orange	12	2	11	12		
Sisters	Dominie 	F	Dark Blue	17	2	1	2		
Sisters	Dominie Collection	F	Green	31	4	7	8	77	
Sitting	Literacy Tree	F	Green	32	3	8	8	46	
Six Go By	Modern Curr. Press	F	Dark Blue	76c	6	3	4	24	
Six Silly Sailors	Electronic Education	F	Green						
Sixth Grade Can Really Kill You	Scholastic	F	Neon Red	17	7				
Skate Park's On A Roll	Book Treks	F	Neon Red	9	6				
Skates for Luke	Rigby	F	Red	4	3	16	16		
Skating	Wright Group	F	Dark Blue	81	2	3	4	52	
Skating at Rainbow Lake	Rigby	F	Yellow	58	3	23	23		
Skeeter	Rigby	F	Yellow	122	12	29	29		
Skimper-Scamper	Harcourt-Brace	F	Orange	50	1	15	16	208	
Skin, Skin	WrightGroup		Green	37	6	8	8	44	
Skinny Bones	Random House-Park	F	Light Blue	39	4				
Skyfire	Scholastic	F	Red	38	6	18	20	250	
Skylark	MacLachlan	F	Lime	65	4	40	40		
Sleeping	Rigby Literacy 2000	F	Green	32	6	8	8	43	
Sloppy Tiger	Sunshine	F	Yellow	125	3	28	30		
Sloppy Tiger Bedtime	Sunshine Books	F	Orange	50	3	16	16		
Small Rabbit Goes Visiting	Wright Group	F	Orange	44	1	14	14		
Smarty pants	The Story Box	F	Orange						
Snap	Houghton Mifflin	F	Green	1	5	1	1		
Snap!	Sunshine Books	F	Dark Blue	26	1	2	2		
Snow Joe	Children's Press	F	Dark Blue	32	1				
Snow on the hill	Rigby	F	Orange	39	1	14	14		
Snow Treasures	Scholastic	F	Lime	11	2				
Snow Walk	Dominie 	F	Dark Blue	97	4	5	6	32	
Snowball Fight	Wright Group	F	Green	2	5	5	5	35	
Snowball, the white mouse	Rigby	F	Orange	24	7	12	12		
Snowflakes	Kaeden Group	F	Green	17	4	6	6	49	
Snowman	Rigby	F	Dark Blue	15	1	1	1	14	
Snowy gets a wash	Rigby	F	Green	40A	2	8	8	181	
So What?	Cohen	F	Red	other side	6	16	16		
Soccer at the Park	Rigby	F	Green	31	5	8	8	131	
Soccer Halfback	Little, Brown & Co.	F	Purple	5	1				
Socks	Rigby	F	Dark Blue	15	8	1	1	21	
Socks	Cleary	F	Light Blue	72	1	38	38		
Some Dog	Rigby	F	Yellow	96	4	27	27		
Somebody Moved in Next Door	Rigby	F	Yellow	122	2	29	29		
Something Queer at the Ball Park	Levy	F	Light Blue	45	1	34	35		
Something Queer at the Haunted School	Levy	F	Light Blue	45	1	34	35		
Something Queer is Going On	Levy	F	Light Blue	45	5	34	35		
Something Queer on Vacation	Levy	F	Light Blue	45	9	34	35		
Something to Share	Carousel readers	F	Dark Blue	97	1	5	5		
Somethings Change	Children's Press	F	Green		1				
Sometimes	Literacy Tree	F	Dark Blue	41	10	2	2	18	
Sometimes Things Change	Children's Press-Rookie Reader	F	Orange		5	12	12	71	
Somewhere	Book Shop	F	Red	7	1	16	16		
Song and Dance Man	Scholastic	F	Light Blue	79	6	36	37		
Song of the Trees	Bantam	F	Purple	40	3				
Sooty	Alpha Kids	F	Orange	15	5	12	12	212	
Sophie's Singing Mother	Shortland Publication	F	Red	18	1	17	17		
Sounder	Scholastic	F	Purple	52	8				
Soup	Dell	F	Lime		1	40	40		
Soup	Sunshine	F	Red	64	3	20	20		
Soup and Me	Dell	F	Lime	69	6	40	40		
Soup for President	Dell	F	Lime	27	10	44	44		
Soup on Wheels	Dell	F	Lime		1	40	40		
Soup on Wheels	Peck	F	Purple	27	1	40	40		
Soup's Drum	Dell	F	Lime	27	4	44	44		
Souvenirs	Literacy 2000	F	Red	66	5	20	20	179	
Space Cat	Rigby	F	Red	64	3	20	20		
Spanish Omelette	Rigby PM Collection	F	Light Blue	70	6	34	34	979	
Speedy Bee	Rigby	F	Green	27	13	6	6	106	
Spirit of Hope	Book Shop	F	Yellow	29	1	22	22		
Splash	Wright Group	F	Dark Blue	10	4	1	1		
Splash-A-Roo and Snowflakes	Yearling	F	Yellow	118	3	28	28		
Splishy-Sploshy	Wright Group	F	Green	34	7	7	8	127	
Spooky Pet	Rigby	F	Dark Blue	54	9	3	3	24	
									
Spots	Literacy 2000	F	Green		12				
Spring Pops Up	Harcourt Brace	F	Dark Blue	9	1	1	1	26	
